Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1911,First911,Last911,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,99,14,0,0
1912,First912,Last912,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,102,11,0,0
1913,First913,Last913,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,112,1,0,0
1914,First914,Last914,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1915,First915,Last915,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,113,0,0,0
1916,First916,Last916,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1917,First917,Last917,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,111,2,0,0
1918,First918,Last918,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,112,1,0,0
1919,First919,Last919,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,109,4,0,0
1920,First920,Last920,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,110.5,2.5,0,0
1921,First921,Last921,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,107,6,0,0
1922,First922,Last922,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,102,11,0,0
1923,First923,Last923,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1924,First924,Last924,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1925,First925,Last925,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1926,First926,Last926,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1927,First927,Last927,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,110,3,0,0
1928,First928,Last928,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,108,5,0,0
1929,First929,Last929,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1930,First930,Last930,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,101.5,11.5,0,0
1931,First931,Last931,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,101,12,0,1
1932,First932,Last932,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,1
1933,First933,Last933,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,1
1934,First934,Last934,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,112,1,0,0
1935,First935,Last935,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,109.5,3.5,0,0
